sample_number,replicate,top_right,bottom_right,top_left,bottom_left,middle,average,subsample_total_v,subsample_algae_v
164,1,246,247,221,273,179,233.2,,
100,1,243,270,273,323,319,285.6,,
53,1,34,37,37,17,45,34,,
145,1,72,90,86,69,74,78.2,,
173,1,113,94,113,94,104,103.6,,
189,1,397,432,399,331,378,387.4,,
92,1,242,282,263,275,301,272.6,,
92,2,284,230,298,268,314,278.8,,
122,1,207,197,189,168,179,188,,
122,2,174,184,181,168,222,185.8,,
32,1,188,191,200,204,217,200,,
32,2,201,214,177,211,244,209.4,,
5,1,183,164,184,220,195,189.2,,
5,2,214,214,190,151,166,187,,
41,1,104,70,80,49,97,80,,
41,2,62,63,63,102,51,68.2,,
135,1,46,48,59,58,51,52.4,,
135,2,54,55,58,53,44,52.8,,
8,1,116,67,96,103,98,96,,
8,2,135,114,120,147,151,133.4,,
180,1,76,85,76,91,66,78.8,40,20
180,2,76,77,73,81,78,77,40,20
13,1,92,139,88,90,73,96.4,40,20
13,2,63,64,41,36,68,54.4,40,20
79,1,35,65,47,38,34,43.8,,
79,2,51,50,51,62,65,55.8,,
73,1,59,50,65,75,61,62,40,20
73,2,20,12,16,21,16,17,40,20
87,1,246,275,200,227,268,243.2,,
87,2,259,220,221,208,225,226.6,,
177,1,136,107,110,138,130,124.2,,
177,2,108,92,146,107,90,108.6,,
118,1,216,251,253,220,209,229.8,,
118,2,251,218,207,250,199,225,,
46,1,66,60,41,43,52,52.4,,
46,2,54,39,76,47,31,49.4,,
59,1,203,218,216,240,178,211,,
59,2,232,265,251,178,221,229.4,,
132,1,239,247,247,235,241,241.8,80,40
132,2,191,230,215,201,224,212.2,80,40
29,1,125,118,138,147,129,131.4,80,40
29,2,133,154,109,142,148,137.2,80,40
144,1,85,72,51,54,86,69.6,,
144,2,78,98,87,55,58,75.2,,
197,1,144,159,138,170,167,155.6,80,40
197,2,135,114,119,165,139,134.4,80,40
194,1,192,180,197,182,192,188.6,,
194,2,191,219,173,228,208,203.8,,
166,1,181,190,150,162,164,169.4,,
166,2,176,158,144,175,184,167.4,,
113,1,68,84,70,82,92,79.2,,
113,2,81,65,79,89,89,80.6,,
106,1,322,341,279,356,310,321.6,80,40
106,2,294,316,314,351,292,313.4,80,40
69,1,18,12,8,21,11,14,,
69,2,8,10,8,5,10,8.2,,
154,1,280,264,281,227,271,264.6,80,40
154,2,218,217,229,239,211,222.8,80,40
156,1,287,250,305,290,332,292.8,100,40
156,2,264,310,293,296,267,286,100,40
99,1,150,177,136,182,147,158.4,80,40
99,2,150,127,151,123,148,139.8,80,40
21,1,131,133,143,162,104,134.6,80,40
21,2,135,105,179,145,108,134.4,80,40
18,1,185,240,196,192,206,203.8,120,40
18,2,201,211,202,193,140,189.4,120,40
38,1,95,77,81,73,81,81.4,,
38,2,78,99,94,130,98,99.8,,
81,1,104,113,100,92,94,100.6,,
81,2,62,107,107,94,100,94,,
62,1,72,50,56,59,48,57,,
62,2,61,58,65,58,52,58.8,,
129,1,293,295,301,295,259,288.6,160,40
129,2,265,291,332,285,261,286.8,160,40